County,Registered (% of Eligible),Democratic (% of Eligible),Republican (% of Eligible),American Independent (% of Eligible),Green (% of Eligible),Libertarian (% of Eligible),"Peace and
Freedom (% of Eligible)",Other (% of Eligible),"Decline to
State (% of Eligible)",Ratio Dem/Rep
Solano,0.714340866,0.495276165,0.261648983,0.02569175,0.004099259,0.004430667,0.002273967,0.003925907,0.202653302,1.892903075
Sonoma,0.731363377,0.521337399,0.227443177,0.021903308,0.018129237,0.006154515,0.002767115,0.003363233,0.198902015,2.292165474
Stanislaus,0.705558635,0.433789157,0.367785639,0.023875099,0.003177527,0.004273075,0.003229904,0.010357515,0.153512084,1.179461923
Sutter,0.642178351,0.333781764,0.462805182,0.029596413,0.003014449,0.004060787,0.002964624,0.004808171,0.15896861,0.721214405
Tehama,0.71880334,0.314315053,0.443314187,0.048775792,0.004428328,0.007316369,0.00336938,0.003658184,0.174822706,0.709011944
Trinity,0.717558685,0.35461921,0.355404344,0.04357498,0.014524993,0.010206752,0.004187386,0.013478147,0.204004187,0.997790869
Tulare,0.602228374,0.345413485,0.454876492,0.028055617,0.003300661,0.003855225,0.002946541,0.002164806,0.159387173,0.759356639
Tuolumne,0.828854351,0.334169515,0.42629582,0.037816312,0.007901916,0.007023925,0.002602615,0.00225769,0.181932207,0.783891136
Ventura,0.796906306,0.397602325,0.369684477,0.023035703,0.005790176,0.005441115,0.00222173,0.012233664,0.183990811,1.075518042
Yolo,0.772622424,0.47848473,0.246427173,0.02424628,0.011178543,0.005227095,0.00382733,0.009250196,0.221358653,1.941688183
Yuba,0.62302027,0.334344597,0.400355686,0.045297625,0.005091188,0.005683998,0.004045054,0.001185619,0.203996234,0.835118892
State Total,0.73395482,0.440836028,0.310188088,0.02389418,0.006585432,0.005270833,0.003342381,0.007365432,0.202517627,1.421189416
